Key,Values
ab,"a,c,d,e,f,g,h,i,k,l,m,n,o,p,r,s,t,u,y,z"
ac,"a,e,f,h,i,k,l,o,q,r,s,t,u,y"
ad,"a,c,e,g,h,i,j,k,l,m,n,o,r,s,u,v,w,y,z"
ae,"b,d,g,h,i,l,m,p,r,s"
af,"a,d,e,g,i,k,l,m,o,r,s,t,u,z"
ag,"a,b,c,d,e,h,i,l,m,n,o,p,r,s,t,u,w,y"
ah,"a,c,d,e,i,l,m,n,o,q,r,s,u,y"
ai,"c,d,e,g,h,j,k,l,m,n,o,p,r,s,t,u,v,w,y,z"
aj,"a,d,e,i,l,m,o,p,t,u"
ak,"a,b,c,d,e,g,h,i,l,m,o,p,r,s,t,u,y"
al,"a,b,c,d,e,f,g,h,i,j,k,m,n,o,p,q,r,s,t,u,v,w,y,z"
am,"a,b,d,e,i,j,l,o,p,r,s,t,u,w,y"
an,"a,b,c,d,e,f,g,h,i,j,k,l,o,s,t,u,v,w,y,z"
ao,"k,n,u,y"
ap,"a,e,f,g,i,k,l,o,r,s,t,u"
aq,"e,u"
ar,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,s,t,u,v,w,y,z"
as,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,p,q,r,t,u,w,z"
at,"a,c,e,h,i,k,l,m,n,o,r,s,u,w,z"
au,"b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,v,w,x,y,z"
av,"a,c,d,e,g,i,n,o,r,u"
aw,"a,b,d,e,i,k,o,r,t,u"
ax,"b,e,f,i,l,m,n,o,s,t,u"
ay,"a,b,c,d,e,i,l,m,n,o,r,s,t,u,v,z"
az,"a,b,c,e,h,i,l,m,n,o,p,r,u"
ba,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
be,"a,b,c,d,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
bh,"a,i,o,u"
bi,"a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u,v,w,x,z"
bj,"a,e,o,u"
bl,"a,e,i,o,u,y"
bo,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,p,q,r,s,t,u,v,w,x,y,z"
br,"a,d,e,h,i,k,l,n,o,t,u,y,z"
bs,h
bu,"a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,w,x,y,z"
by,"a,b,c,d,e,f,g,h,i,k,l,m,n,o,r,s,t,u,w,x,z"
bz,"d,u"
ca,"b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z"
cd,e
ce,"a,b,c,d,f,g,h,j,k,l,m,n,o,p,r,s,t,u,v,y,z"
